id,start_time,spread,over_under,is_finished,venue_name,venue_address,neutral_site,week_id
401547353,2023-09-08T00:20:00+00:00,KC -3.5,51.5,True,GEHA Field at Arrowhead Stadium,"Kansas City, MO",False,nfl-2023-week-1
401547403,2023-09-10T17:00:00+00:00,ATL -3.5,39.5,True,Mercedes-Benz Stadium,"Atlanta, GA",False,nfl-2023-week-1
401547397,2023-09-10T17:00:00+00:00,CLE -2.5,46.5,True,Cleveland Browns Stadium,"Cleveland, OH",False,nfl-2023-week-1
401547404,2023-09-10T17:00:00+00:00,JAX -3.5,44.5,True,Lucas Oil Stadium,"Indianapolis, IN",False,nfl-2023-week-1
401547398,2023-09-10T17:00:00+00:00,MIN -4.5,43.5,True,U.S. Bank Stadium,"Minneapolis, MN",False,nfl-2023-week-1
401547399,2023-09-10T17:00:00+00:00,NO -2.5,40.5,True,Caesars Superdome,"New Orleans, LA",False,nfl-2023-week-1
401547405,2023-09-10T17:00:00+00:00,SF -1.5,40.5,True,Acrisure Stadium,"Pittsburgh, PA",False,nfl-2023-week-1
401547406,2023-09-10T17:00:00+00:00,WSH -6.5,37.5,True,Commanders Field,"Landover, MD",False,nfl-2023-week-1
401547396,2023-09-10T17:00:00+00:00,BAL -9.5,42.5,True,M&T Bank Stadium,"Baltimore, MD",False,nfl-2023-week-1
401547407,2023-09-10T20:25:00+00:00,CHI -2.5,40.5,True,Soldier Field,"Chicago, IL",False,nfl-2023-week-1
401547400,2023-09-10T20:25:00+00:00,DEN -2.5,42.5,True,Empower Field at Mile High,"Denver, CO",False,nfl-2023-week-1
401547402,2023-09-10T20:25:00+00:00,PHI -3.5,43.5,True,Gillette Stadium,"Foxborough, MA",False,nfl-2023-week-1
401547401,2023-09-10T20:25:00+00:00,LAC -3.5,49.5,True,SoFi Stadium,"Inglewood, CA",False,nfl-2023-week-1
401547408,2023-09-10T20:25:00+00:00,SEA -5.5,44.5,True,Lumen Field,"Seattle, WA",False,nfl-2023-week-1
401547409,2023-09-11T00:20:00+00:00,DAL -3.5,44.5,True,MetLife Stadium,"East Rutherford, NJ",False,nfl-2023-week-1
401547352,2023-09-12T00:15:00+00:00,BUF -2.5,44.5,True,MetLife Stadium,"East Rutherford, NJ",False,nfl-2023-week-1
401547410,2023-09-15T00:15:00+00:00,PHI -6.5,48.5,True,Lincoln Financial Field,"Philadelphia, PA",False,nfl-2023-week-2
401547417,2023-09-17T17:00:00+00:00,ATL -2.5,39.5,True,Mercedes-Benz Stadium,"Atlanta, GA",False,nfl-2023-week-2
401547411,2023-09-17T17:00:00+00:00,BUF -7.5,45.5,True,Highmark Stadium,"Orchard Park, NY",False,nfl-2023-week-2
401547412,2023-09-17T17:00:00+00:00,CIN -3.5,44.5,True,Paycor Stadium,"Cincinnati, OH",False,nfl-2023-week-2
401547418,2023-09-17T17:00:00+00:00,DET -4.5,46.5,True,Ford Field,"Detroit, MI",False,nfl-2023-week-2
401547414,2023-09-17T17:00:00+00:00,LAC -2.5,44.5,True,Nissan Stadium,"Nashville, TN",False,nfl-2023-week-2
401547420,2023-09-17T17:00:00+00:00,TB -2.5,39.5,True,Raymond James Stadium,"Tampa, FL",False,nfl-2023-week-2
401547413,2023-09-17T17:00:00+00:00,KC -2.5,49.5,True,EverBank Stadium,"Jacksonville, FL",False,nfl-2023-week-2
401547419,2023-09-17T17:00:00+00:00,HOU -2.5,39.5,True,NRG Stadium,"Houston, TX",False,nfl-2023-week-2
401547422,2023-09-17T20:05:00+00:00,SF -7.5,44.5,True,SoFi Stadium,"Inglewood, CA",False,nfl-2023-week-2
401547421,2023-09-17T20:05:00+00:00,NYG -4.5,39.5,True,State Farm Stadium,"Glendale, AZ",False,nfl-2023-week-2
401547415,2023-09-17T20:25:00+00:00,DAL -8.5,37.5,True,AT&T Stadium,"Arlington, TX",False,nfl-2023-week-2
401547416,2023-09-17T20:25:00+00:00,DEN -3.5,38.5,True,Empower Field at Mile High,"Denver, CO",False,nfl-2023-week-2
401547423,2023-09-18T00:20:00+00:00,NE -0.5,45.5,True,Gillette Stadium,"Foxborough, MA",False,nfl-2023-week-2
401547425,2023-09-18T23:15:00+00:00,NO -3.5,39.5,True,Bank of America Stadium,"Charlotte, NC",False,nfl-2023-week-2
401547424,2023-09-19T00:15:00+00:00,CLE -2.5,39.5,True,Acrisure Stadium,"Pittsburgh, PA",False,nfl-2023-week-2
401547426,2023-09-22T00:15:00+00:00,SF -10.5,43.5,True,Levi's Stadium,"Santa Clara, CA",False,nfl-2023-week-3
401547428,2023-09-24T17:00:00+00:00,CLE -3.5,37.5,True,Cleveland Browns Stadium,"Cleveland, OH",False,nfl-2023-week-3
401547433,2023-09-24T17:00:00+00:00,DET -2.5,47.5,True,Ford Field,"Detroit, MI",False,nfl-2023-week-3
401547434,2023-09-24T17:00:00+00:00,NO -1.5,42.5,True,Lambeau Field,"Green Bay, WI",False,nfl-2023-week-3
401547429,2023-09-24T17:00:00+00:00,MIA -5.5,47.5,True,Hard Rock Stadium,"Miami Gardens, FL",False,nfl-2023-week-3
401547436,2023-09-24T17:00:00+00:00,LAC -2.5,51.5,True,U.S. Bank Stadium,"Minneapolis, MN",False,nfl-2023-week-3
401547430,2023-09-24T17:00:00+00:00,NE -2.5,34.5,True,MetLife Stadium,"East Rutherford, NJ",False,nfl-2023-week-3
401547431,2023-09-24T17:00:00+00:00,BUF -5.5,43.5,True,Commanders Field,"Landover, MD",False,nfl-2023-week-3
401547435,2023-09-24T17:00:00+00:00,JAX -7.5,42.5,True,EverBank Stadium,"Jacksonville, FL",False,nfl-2023-week-3
401547427,2023-09-24T17:00:00+00:00,BAL -7.5,42.5,True,M&T Bank Stadium,"Baltimore, MD",False,nfl-2023-week-3
401547432,2023-09-24T20:05:00+00:00,SEA -5.5,43.5,True,Lumen Field,"Seattle, WA",False,nfl-2023-week-3
401547438,2023-09-24T20:25:00+00:00,KC -12.5,48.5,True,GEHA Field at Arrowhead Stadium,"Kansas City, MO",False,nfl-2023-week-3
401547437,2023-09-24T20:25:00+00:00,DAL -11.5,44.5,True,State Farm Stadium,"Glendale, AZ",False,nfl-2023-week-3
401547439,2023-09-25T00:20:00+00:00,LV -2.5,42.5,True,Allegiant Stadium,"Las Vegas, NV",False,nfl-2023-week-3
401547440,2023-09-25T23:15:00+00:00,PHI -4.5,43.5,True,Raymond James Stadium,"Tampa, FL",False,nfl-2023-week-3
401547441,2023-09-26T00:15:00+00:00,CIN -2.5,45.5,True,Paycor Stadium,"Cincinnati, OH",False,nfl-2023-week-3
401547442,2023-09-29T00:15:00+00:00,DET -2.5,44.5,True,Lambeau Field,"Green Bay, WI",False,nfl-2023-week-4
401547227,2023-10-01T13:30:00+00:00,JAX -3.5,41.5,True,Wembley Stadium,London,True,nfl-2023-week-4
